entity_id,listed_from,listed_to,delist_reason,source_doc_id,source_load_id
4374,2018-05-29,,,,4
4375,2000-12-14,,,,4
4376,2017-10-10,,,,4
4377,2005-12-09,,,,4
4378,2006-04-21,,,,4
4379,2007-10-24,,,,4
4380,2016-11-18,,,,4
4381,2015-08-21,,,,4
4382,2018-05-25,,,,4
4383,2007-11-15,,,,4
4384,1996-03-27,,,,4
4385,2015-07-02,,,,4
4386,2007-12-11,,,,4
4387,2013-12-17,,,,4
4388,2023-08-25,,,,4
4389,2025-10-29,,,,4
4390,1986-12-04,,,,4
4391,2007-12-05,,,,4
4392,2021-03-10,,,,4
4393,2009-10-27,,,,4
4394,2006-05-16,,,,4
4395,2025-10-08,,,,4
4396,1971-07-28,,,,4
4397,1998-03-20,,,,4
4398,2025-06-24,,,,4
4399,2025-10-31,,,,4
4400,2024-12-16,,,,4
4401,2023-01-13,,,,4
4402,2008-07-01,,,,4
4403,2021-05-06,,,,4
4404,2001-05-24,,,,4
4405,2005-12-14,,,,4
4406,2025-07-03,,,,4
4407,2000-04-04,,,,4
4408,1996-02-15,,,,4
4409,2011-06-08,,,,4
4410,1994-06-29,,,,4
4411,2007-08-02,,,,4
4412,2005-02-02,,,,4
4413,1971-08-02,,,,4
4414,2011-09-02,,,,4
4415,1998-03-30,,,,4
4416,2014-04-17,,,,4
4417,2011-04-19,,,,4
4418,2008-03-05,,,,4
4419,2020-12-14,,,,4
4420,1962-07-31,,,,4
4421,2007-07-04,,,,4
4422,2006-05-09,,,,4
4423,1971-04-01,,,,4
4424,2021-10-26,,,,4
4425,2023-11-10,,,,4
4426,2022-01-04,,,,4
4427,2019-12-18,,,,4
4428,1986-03-27,,,,4
4429,2026-07-31,,,,4
4430,1971-07-28,,,,4
4431,1993-09-06,,,,4
4432,2018-11-08,,,,4
4433,2011-04-14,,,,4
4434,2015-03-31,,,,4
4435,2021-11-10,,,,4
4436,2011-05-17,,,,4
4437,2007-06-05,,,,4
4438,1987-07-30,,,,4
4439,2008-07-17,,,,4
4440,2014-06-25,,,,4
4441,2016-06-01,,,,4
4442,1980-06-19,,,,4
4443,2016-09-15,,,,4
4444,2014-07-21,,,,4
4445,2005-10-20,,,,4
4446,1993-05-20,,,,4
4447,2004-12-24,,,,4
4448,2024-06-20,,,,4
4449,1980-12-04,,,,4
4450,2004-03-10,,,,4
4451,2022-04-26,,,,4
4452,2022-01-27,,,,4
4453,2008-02-20,,,,4
4454,2002-03-21,,,,4
4455,1986-07-03,,,,4
4456,2022-10-25,,,,4
4457,2010-05-03,,,,4
4458,2005-09-15,,,,4
4459,2004-02-26,,,,4
4460,2021-09-06,,,,4
4461,2020-11-23,,,,4
4462,2010-10-20,,,,4
4463,2012-02-07,,,,4
4464,2017-01-12,,,,4
4465,2018-11-01,,,,4
4466,1994-07-22,,,,4
4467,2007-11-14,,,,4
4468,2021-06-16,,,,4
4469,2000-04-17,,,,4
4470,2014-05-20,,,,4
4471,2000-09-13,,,,4
4472,1998-07-03,,,,4
4473,1986-05-22,,,,4
4474,2018-11-14,,,,4
4475,2019-10-14,,,,4
4476,2018-12-12,,,,4
4477,2021-11-05,,,,4
4478,2021-05-11,,,,4
4479,2003-02-25,,,,4
4480,2020-11-19,,,,4
4481,2010-07-29,,,,4
4482,2021-12-14,,,,4
4483,2020-11-12,,,,4
4484,2007-03-30,,,,4
4485,2022-08-24,,,,4
4486,2016-12-21,,,,4
4487,2000-06-01,,,,4
4488,1999-06-24,,,,4
4489,2023-01-23,,,,4
4490,2007-07-05,,,,4
4491,2006-12-12,,,,4
4492,1987-09-03,,,,4
4493,2021-09-14,,,,4
